User Name,Ratings,Mini Review,Date,Reviews
Jagan Reddy Ikkada,5.0 out of 5 stars,"
Awesome Product
",3 October 2019,"
I'm using the product and its very good and  the best product from the one i used earlier.and would like to see the Quality accessories like  this in future too..Thanks for the Quality and Best product.Regards
"
Sourabh Choudhary,4.0 out of 5 stars,"
A very good product..bohot hard bohot hard..😉
",5 October 2019,"
Frist of all the product looks amazing..the gun mettle finishing is awsome..now comes to real part..the SOUND quality..to be honest the sound quality is good bass is awsome and nearly perfect..fitting is realy good..u can find 3 adjustment sizes and make it comfertable for yourself..battery me be issue for person to person as it offer 7 hours battery with 70-80% volume which is good..a full charge gives me a full day usage..i am using these while jogging, then whole working hours (arround 7-8 hours) these are connected to my phone for taking call and also using for other stuff like videos on youtube, games etc..i found this product amazing at this prise point..at last i want to say that if u r searching for wireless earphones than u should give a try..u will get value for money product..i am saying this because i purchased ONE MORE PAIR OF THESE FOR MY SISTER..
"
Sharoj Pillai,5.0 out of 5 stars,"
Best
",5 October 2019,"
My first Bluetooth earphones and the quality is definitely up to the mark, and it exceeds expectations.Saw it in mumbaiker nikkil's video and thought of testing it.Definitely worth it..Got a good deal on such a great earphones
"
Ravi H R,3.0 out of 5 stars,"
Low Bass frequency:/
",29 November 2019,"
Well as we indian love high frequency of bass, this earphones will not give your expectations for bass.. Bass is clearly at low frequency. Other than this, good quality earphones in terms of noise cancelling, fitting in ears, connectivity. 3 star for this and minus 2 points for low Frequency of Bass.
"
Aritrik Chaudhuri,5.0 out of 5 stars,"
Best Wireless Earphone Under 1500rs!!
",20 January 2020,"
Here's my review after using it for 15 days:Drivers-Yeah, the driver is big but it justified. It has pretty good bass and the sound quality is crisp.Bluetooth Range-Coming to the Bluetooth range. The range is perfect for people living in a 2bhk house. The average range is about around 40 feet or 12 metres. The range is great within 2 rooms. You can keep your phone within two rooms and roam around.Control panel-The control panel fine. There’s the volume up and down buttons and a home button for switching it on and off and also activate google assistance. It’s that simple. I wish the control panel was a bit lower because to change volume, the earbud most of the time fallsMusic Quality-The background music will be louder than the vocals. But, after listening to a lot of pop and electronic music, I really didn't feel the bass. The songs are little but music heavy but the vocals are clear. Not the best but for general people it's okay.Call Quality-The call quality is good. Look if your normal call quality through the phone is bad then you can’t expect a good call quality through this earphone. I have used it thoroughly and the voice was loud and clear and the caller was also able to hear my voice clearly. If you want to watch YouTube videos, listen to music just to pass time then it's a great deal! Go for it. The microphone is also great and quickly picks up your audio without any background noise.Charging and battery life-I am using the 18-watt OPPO VOOC 3.0 charger and man the charging speed is mind-blowing. It took only 15 mins to charge from 40 to 90.The battery life is really - good on this. It will easily last for 6 to 9 hours in 60 per cent volume. Here are some screenshots. I have used nonstop in minimum volume and I was blown away by the battery life.Comfort and Ease of Use-Better than wired earphones because wired earphones often get tangled and it’s a mess. Generally, for me, it took less than an hour to configure the right ear tips and wingtips. First, for some days it will be very uncomfortable. But, after two to three days, you will like it. The drivers are bit oversized which makes it heavy so without the right pair of the wingtip, the earphone may fall from your ear.Pros- If you want to watch YouTube videos, listen to music just to pass time then it's a great deal! Go for it.- The audio quality is not too bad not too good - somewhere in the middle, it's average. Worth going for it.- It has magnets on top of the ear buds that cling to each other.- The wing tips and earbuds are soft and comfortable.- The earphone is sweat resistant and will not fall from your ear while working out.- Bluetooth range and sound quality is top notch, I fell in love with it!- Say NO to tangled wire and 3.5 mm headphone jack.- You can connect it to TV, Laptop, tablet and smartphones. Works on both Android & iOS.- Battery life is around 7 to 9 hours on 60 percent volume. Charging time with normal mobile charger is 45 mins to 1 hr and with fast charger it is actually just under 20 minutes!!!Cons- Now, if you are serious about what you are listening to, if you want to feel the bass, want to listen to vocals clearly, then it's not for you.- The driver size is big. So you may feel uncomfortable after weeks.- No pouch or carry bag will be provided (Although you can carry it around your neck, but still..)That's my review and if you want to purchase it - don't think - BUY it now!
"
Ateeq ahmed,1.0 out of 5 stars,"
POOR BATTERY BACKUP..POOR QUALITY SOUND
",29 January 2020,"
Poor quality product. Only good thing is build quality for the price compared to others like boat/Sony/jbl1)Battery life of 7 hours is a HOAX. Still,I expected at least 3-4 hours backup & even that also I am not getting! Battery drains like anything, 20% drop in 5 minutes. So, in 25 minutes, battery is 0% from 100%! Even when switched off, it doesnt retain the battery for a day.Ridiculous product. Maybe I got a defective battery. Have asked for return.2)Bluetooth range is DISAPPOINTING! even when I turn my head a bit, there are connection drops! Certainly not on par with any 5.0 Bluetooth device. Very unsteady connection with frequent connection breaks.3) Sound quality is below average. Bass is almost nonexistent. Vocals aren't clear enough. My boat wired headphone gives 100 times better quality.4) Uncomfortable for day to day usage. Can't bear it for more than 30 min. Ears start paining. And I feel like brain fog after removing them with aching head.5) Gets dirty very soon. The rubber part attracts lots and lots of dust.6) person next to you hears everything you are hearing,which is very irritating.
"
Ronak,5.0 out of 5 stars,"
Good quality wireless Earphones from Mivi.
",5 January 2020,"
Hey everyone so I have been using this wireless earphones for more than a 3 days now and here is my review.->Packing and Box Contents:- It comes in a Grey and yellow coloured box with Mivi branding. Inside the box you will get the following contents:- * Earphones* Few extra ear tips* USB cable for charging* User manual & Warranty card->Build Quality:- The quality of the this is nice and the finishing is also perfect as it is made up of metalic body and it looks premium. Now coming to the earphones it is also made up of plastic with magnetic housing which makes it little bit heavy but quality of the earphones are great.->Audio Quality:- The audio output is great and the bass is also perfect, volume is so loud and clear.-With the help of the inline microphone you can also take calls with these earphones and while calling there were no issues and there is delay in audio while playing games. It works perfectly while listening to music and for movies.->Battery Backup:- it's having 120mAh battery which will last for a longer period of time approx 6-7 hours. * It comes with Bluetooth 5.0 which gives a faster connection you can also use it over longer range upto 10 meters. ->Verdict:- If you are looking for a wireless earphones for less than ₹1500 then you can definitely go for this earphones as the audio quality is perfect and the bass is also great in this earphones.->It is IPX4 certified, splash proof and the ergonomic design gives a great fitting which is great for workouts or jogging. Thank you for reading my review.
"
Shubham Choubey,3.0 out of 5 stars,"
I have mentioned its pros and cons..what is good and what is bad👇👇👇👇👇👇👇👇👇👇
",27 December 2019,"
Reason why i m returning this earphone:-1. Its mirophone is very less sensitive even compared with a  samsung earphone which come free with a phone..U cant talk to someone in whispering sound even putting the mic on ur lips...it's good for u if u donot need to do so.2. Bluetooth range is very poor...it start disconnecting only if u reach a separation of less than 10meter from ur phone..i couldn't listen the music even if i go to the bathrm and let the phone in room which is a very less distance..3. Everytime when u long press mfb to power off ur  headphone it activates google assistant on ur phone because the system is that if u press the powere button for three sec it will power off and if for two sec, it will activate google assistant4. it gives a very annoying and loud sound in ur ear saying:-""power off and power on"" every time when u off or on it..these sounds will be very loud even if u turn of ur volume to least..What i found worthy in this are:-1. Sound quality was very good as compared to those earphone which comes free with ur phone and also i have use wired eps of samsung and mi of ₹750 and ₹550 respectively before this but its sound quality is far better than any of them..it gave me a very different experience of listing music..bass is also fine2. Its connectivity speed is very fast..as soon as u power on it it will get connected to ur phone..3. Its multi-function button is useful as u can do various things with this such as connecting two devices at a time, u can recieve a call, u can ignore a call, u can mute a call, u can disconnect a call and even u can dial the last called number on ur phone from the same button..4. I am returning this onlh in one time use although i can comment on this part because as much as i have used it, its battery is still 100% so i think its battery backup is also very good but i have not tested the charging part that how much time it takes to fully charge and fully discharge..Conclusion:- u should buy this if u neednot to talk to ur GF or BF in whispering sound..😊And u r comfortable carring ur phone in pocket always when u use ur headphone.Hope my time spent on this review comes helpful to u🙃
"
Vijayshanker Singh,1.0 out of 5 stars,"
very Harmful to ears
",16 January 2020,"
I had to do tough work to wear it into my ears. After wearing it into ears within a minute, it started hurting. So I qould say it is hazardous for ears. Although sound quality is right, you should not buy this product. You can get a similar variety of sounds with other earphones too, with good fit quality and less price.
"
Wasim,5.0 out of 5 stars,"
Affordable price and good quality product
",20 January 2020,"
This is unexpected a good product with really good audio quality and great battery life and it has great bass and treblevery good highs and mids if you are looking for something cheaper and great performance i will recommend this productwhat is love about this product isMetallic BodyMagnetic lockAdjustable clipComfort fittingSecure fitBLUETOOTH VERSION 5.013.5mm DriverVocals are crystal clearpowerful highs and clear lows13.5mm drive size  Sound stage is bit wide• Excellent build quality• Detailed, dynamic sound• Reliable wireless connectionand very reasonable price.
"
